"","Date","RotH","Home","HQ1","HQ2","HQ3","HQ4","HFinal","MoneyLineHome","RotV","Away","VQ1","VQ2","VQ3","VQ4","VFinal","MoneyLineVisitor","OS","OOU","CS","COU","WP.H","WP.V","FinalOU","PointsTotal","SpreadH","Covered"
"1",2017-10-17,502,"Cleveland",29,25,18,30,102,-195,501,"Boston",19,19,33,28,99,166,4,214.5,4.5,216,0.642538549764241,0.357461450235759,"Under",201,-4.5,0
"2",2017-10-17,504,"GoldenState",35,36,30,20,121,-470,503,"Houston",34,28,26,34,122,364,9,232,9,231.5,0.804522081064731,0.195477918935269,"Over",243,-9,0
"3",2017-10-18,702,"Indiana",29,36,41,34,140,-155,701,"Brooklyn",30,33,35,33,131,135,3.5,212,3,216.5,0.591155611180642,0.408844388819358,"Over",271,-3,1
"4",2017-10-18,704,"Washington",32,24,34,30,120,-300,703,"Philadelphia",23,36,23,33,115,240,6.5,215.5,6.5,217.5,0.727941176470588,0.272058823529412,"Over",235,-6.5,0
"5",2017-10-18,706,"Orlando",32,26,30,28,116,145,705,"Miami",37,18,23,31,109,-170,3,207,3.5,205.5,0.389266817838246,0.610733182161754,"Over",225,3.5,1
"6",2017-10-18,708,"Detroit",29,27,26,20,102,-145,707,"Charlotte",27,18,25,20,90,125,3,204,2.5,202,0.573696145124717,0.426303854875283,"Under",192,-2.5,1
"7",2017-10-18,710,"Boston",26,27,27,20,100,-125,709,"Milwaukee",24,34,18,32,108,105,6,208.5,1.5,203,0.533875338753388,0.466124661246612,"Over",208,-1.5,0
"8",2017-10-18,712,"Memphis",27,27,25,24,103,-130,711,"NewOrleans",34,18,18,21,91,110,3,205,2,204.5,0.544513457556936,0.455486542443064,"Under",194,-2,1
"9",2017-10-18,714,"Dallas",24,23,35,29,111,-240,713,"Atlanta",27,31,24,35,117,190,6.5,199.5,5.5,199,0.68052738336714,0.31947261663286,"Over",228,-5.5,0
"10",2017-10-18,716,"Utah",21,28,29,28,106,-140,715,"Denver",30,28,25,13,96,120,2,209,2.5,205,0.564393939393939,0.435606060606061,"Under",202,-2.5,1
"11",2017-10-18,718,"SanAntonio",32,21,34,20,107,-125,717,"Minnesota",25,24,28,22,99,105,3,207,1.5,203.5,0.533875338753388,0.466124661246612,"Over",206,-1.5,1
