"","Date","RotH","Home","HQ1","HQ2","HQ3","HQ4","PTSH","MoneyLineHome","RotV","Visitor","VQ1","VQ2","VQ3","VQ4","PTSV","MoneyLineVisitor","OS","OOU","CS","COU","WP.H","WP.V","FinalOU","PointsTotal","SpreadH","Covered"
"1",2017-10-17,502,"Cleveland Cavaliers",29,25,18,30,102,-195,501,"Boston Celtics",19,19,33,28,99,166,4,214.5,4.5,216,0.64253855,0.35746145,"Under",201,-4.5,0
"2",2017-10-17,504,"Golden State Warriors",35,36,30,20,121,-470,503,"Houston Rockets",34,28,26,34,122,364,9,232,9,231.5,0.804522081,0.195477919,"Over",243,-9,0
"3",2017-10-18,702,"Indiana Pacers",29,36,41,34,140,-155,701,"Brooklyn Nets",30,33,35,33,131,135,3.5,212,3,216.5,0.591155611,0.408844389,"Over",271,-3,1
"4",2017-10-18,704,"Washington Wizards",32,24,34,30,120,-300,703,"Philadelphia 76ers",23,36,23,33,115,240,6.5,215.5,6.5,217.5,0.727941176,0.272058824,"Over",235,-6.5,0
"5",2017-10-18,706,"Orlando Magic",32,26,30,28,116,145,705,"Miami Heat",37,18,23,31,109,-170,3,207,3.5,205.5,0.389266818,0.610733182,"Over",225,3.5,1
"6",2017-10-18,708,"Detroit Pistons",29,27,26,20,102,-145,707,"Charlotte Hornets",27,18,25,20,90,125,3,204,2.5,202,0.573696145,0.426303855,"Under",192,-2.5,1
"7",2017-10-18,710,"Boston Celtics",26,27,27,20,100,-125,709,"Milwaukee Bucks",24,34,18,32,108,105,6,208.5,1.5,203,0.533875339,0.466124661,"Over",208,-1.5,0
"8",2017-10-18,712,"Memphis Grizzlies",27,27,25,24,103,-130,711,"New Orleans Pelicans",34,18,18,21,91,110,3,205,2,204.5,0.544513458,0.455486542,"Under",194,-2,1
"9",2017-10-18,714,"Dallas Mavericks",24,23,35,29,111,-240,713,"Atlanta Hawks",27,31,24,35,117,190,6.5,199.5,5.5,199,0.680527383,0.319472617,"Over",228,-5.5,0
"10",2017-10-18,716,"Utah Jazz",21,28,29,28,106,-140,715,"Denver Nuggets",30,28,25,13,96,120,2,209,2.5,205,0.564393939,0.435606061,"Under",202,-2.5,1
"11",2017-10-18,718,"San Antonio Spurs",32,21,34,20,107,-125,717,"Minnesota Timberwolves",25,24,28,22,99,105,3,207,1.5,203.5,0.533875339,0.466124661,"Over",206,-1.5,1
"12",2017-10-18,720,"Sacramento Kings",25,23,24,28,100,250,719,"Houston Rockets",26,26,23,30,105,-310,9,218.5,7,216.5,0.264808362,0.735191638,"Under",205,7,1
"13",2017-10-18,722,"Phoenix Suns",21,14,20,21,76,120,721,"Portland Trail Blazers",29,31,38,26,124,-140,1,220,2.5,219.5,0.435606061,0.564393939,"Under",200,2.5,0
"14",2017-10-19,502,"Toronto Raptors",25,33,26,33,117,-1400,501,"Chicago Bulls",23,14,27,37,101,800,12,206,14,206.5,0.911111111,0.088888889,"Over",218,-14,1
"15",2017-10-19,504,"Oklahoma City Thunder",27,26,26,26,105,-1000,503,"New York Knicks",24,18,17,25,84,650,11.5,213,12.5,215.5,0.887878788,0.112121212,"Under",189,-12.5,1
"16",2017-10-19,506,"Los Angeles Lakers",19,23,21,29,92,210,505,"Los Angeles Clippers",27,26,34,21,108,-260,4.5,218.5,6.5,219,0.300179211,0.699820789,"Under",200,6.5,0
"17",2017-10-20,702,"Philadelphia 76ers",21,29,22,20,92,-150,701,"Boston Celtics",24,22,23,33,102,130,1,216.5,3,217,0.582608696,0.417391304,"Under",194,-3,0
"18",2017-10-20,704,"Charlotte Hornets",18,31,35,25,109,-190,703,"Atlanta Hawks",28,28,17,18,91,160,6,202.5,4.5,205.5,0.635278515,0.364721485,"Under",200,-4.5,1
"19",2017-10-20,706,"Washington Wizards",29,29,33,24,115,-280,705,"Detroit Pistons",31,34,16,30,111,230,6.5,210.5,6.5,211.5,0.716905901,0.283094099,"Over",226,-6.5,0
"20",2017-10-20,708,"Milwaukee Bucks",25,24,24,24,97,-115,707,"Cleveland Cavaliers",25,30,31,30,116,-105,1.5,210,1,209.5,0.511344299,0.488655701,"Over",213,-1,0
"21",2017-10-20,710,"Indiana Pacers",25,27,21,23,96,185,709,"Portland Trail Blazers",31,31,29,23,114,-230,3.5,219,6,218.5,0.326953748,0.673046252,"Under",210,6,0
"22",2017-10-20,712,"Brooklyn Nets",29,29,31,37,126,-130,711,"Orlando Magic",27,28,36,30,121,110,1,220,2,226,0.544513458,0.455486542,"Over",247,-2,1
"23",2017-10-20,714,"Minnesota Timberwolves",19,27,24,30,100,-200,713,"Utah Jazz",16,26,23,32,97,170,5.5,200,5,197,0.648148148,0.351851852,"Under",197,-5,0
"24",2017-10-20,716,"Dallas Mavericks",23,23,14,28,88,-250,715,"Sacramento Kings",19,27,25,22,93,200,5.5,203,6,201.5,0.69047619,0.30952381,"Under",181,-6,0
"25",2017-10-20,718,"New Orleans Pelicans",39,25,26,30,120,360,717,"Golden State Warriors",26,35,37,30,128,-470,6.5,222.5,9,221,0.19641495,0.80358505,"Over",248,9,1
"26",2017-10-20,720,"Phoenix Suns",36,37,26,31,130,-160,719,"Los Angeles Lakers",40,30,36,26,132,140,2.5,222,3.5,220.5,0.599358974,0.400641026,"Over",262,-3.5,0
"27",2017-10-21,502,"Toronto Raptors",36,26,40,26,128,-365,501,"Philadelphia 76ers",19,30,22,23,94,292,7.5,216,8.5,219,0.764922098,0.235077902,"Over",222,-8.5,1
"28",2017-10-21,504,"Cleveland Cavaliers",18,27,20,28,93,-850,503,"Orlando Magic",36,20,32,26,114,588,11,212.5,11.5,216,0.874694002,0.125305998,"Under",207,-11.5,0
"29",2017-10-21,506,"Houston Rockets",33,29,30,15,107,-850,505,"Dallas Mavericks",20,19,19,33,91,588,10.5,214.5,11.5,216,0.874694002,0.125305998,"Under",198,-11.5,1
"30",2017-10-21,508,"New York Knicks",28,36,16,27,107,-105,507,"Detroit Pistons",19,32,28,32,111,-115,1.5,206.5,1,204.5,0.488655701,0.511344299,"Over",218,-1,0
"31",2017-10-21,510,"Miami Heat",26,37,28,21,112,-425,509,"Indiana Pacers",31,19,26,32,108,334,8.5,211,9.5,213.5,0.789554531,0.210445469,"Over",220,-9.5,0
"32",2017-10-21,512,"Chicago Bulls",21,17,17,22,77,447,511,"San Antonio Spurs",19,22,24,22,87,-600,7.5,202,10,200.5,0.16283625,0.83716375,"Under",164,10,0
"33",2017-10-21,514,"Memphis Grizzlies",31,25,32,23,111,299,513,"Golden State Warriors",26,25,20,30,101,-375,7.5,213,8.5,212.5,0.230576441,0.769423559,"Under",212,8.5,1
"34",2017-10-21,516,"Milwaukee Bucks",24,36,24,29,113,-150,515,"Portland Trail Blazers",26,29,25,30,110,130,4.5,213.5,3,208.5,0.582608696,0.417391304,"Over",223,-3,0
"35",2017-10-21,518,"Denver Nuggets",17,25,24,30,96,-850,517,"Sacramento Kings",18,16,18,27,79,588,11,216,12.5,212.5,0.874694002,0.125305998,"Under",175,-12.5,1
"36",2017-10-21,520,"Utah Jazz",21,23,29,23,96,155,519,"Oklahoma City Thunder",14,20,23,30,87,-180,4,200.5,4,200,0.37464986,0.62535014,"Under",183,4,1
"37",2017-10-21,522,"Los Angeles Clippers",23,35,32,40,130,-1450,521,"Phoenix Suns",18,26,20,24,88,857,11.5,220,13.5,220,0.915495332,0.084504668,"Under",218,-13.5,1
"38",2017-10-22,702,"Brooklyn Nets",19,37,35,25,116,-115,701,"Atlanta Hawks",25,28,24,27,104,-105,2.5,219.5,1,220,0.511344299,0.488655701,"Under",220,-1,1
"39",2017-10-22,704,"Oklahoma City Thunder",23,31,21,38,113,-180,703,"Minnesota Timberwolves",28,33,27,27,115,150,4.5,211.5,4,212,0.621428571,0.378571429,"Over",228,-4,0
"40",2017-10-22,706,"Los Angeles Lakers",22,33,28,29,112,175,705,"New Orleans Pelicans",34,34,26,25,119,-210,4,217,5.5,222.5,0.343108504,0.656891496,"Over",231,5.5,0
"41",2017-10-23,502,"Detroit Pistons",22,21,24,19,86,-160,501,"Philadelphia 76ers",31,25,19,22,97,140,4,213,3,213.5,0.599358974,0.400641026,"Under",183,-3,0
"42",2017-10-23,504,"Miami Heat",26,36,15,27,104,-700,503,"Atlanta Hawks",23,21,29,20,93,500,11.5,206,10.5,205,0.854166667,0.145833333,"Under",197,-10.5,1
"43",2017-10-23,506,"Houston Rockets",26,31,19,14,90,-360,505,"Memphis Grizzlies",24,26,20,28,98,280,8,210.5,8,213.5,0.7597254,0.2402746,"Under",188,-8,0
"44",2017-10-23,508,"Milwaukee Bucks",18,35,30,20,103,-260,507,"Charlotte Hornets",25,29,23,17,94,210,6,205,6.5,203.5,0.699820789,0.300179211,"Under",197,-6.5,1
